id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
MUM00041257,23.317,57.95,417,MU,SAMAIL,,33.58461538,43.05,39.7,25.83571429
MUM00041258,23.633,58.567,3,MU,MINA SULTAN QABOOS,,29.23333333,36.02222222,32.9,25.14166667
MUM00041259,23.233,57.267,2764,MU,JABAL SHAMS,,13.7125,22.74285714,18.08333333,9.7625
MUM00041262,22.35,56.483,170,MU,FAHUD (AUT),,35.125,44.84666667,41.03333333,27.92727273
MUM00041263,23,57.317,592,MU,BAHLA,,33.53636364,42.27272727,38.72727273,26.28461538
MUM00041264,22.5,57.367,328,MU,ADAM AIRPORT,,35.00833333,43.82222222,39.94166667,27.81538462
MUM00041265,22.733,58.5,469,MU,IBRA,,34.5,42.15454545,39.47142857,27.24615385
MUM00041267,22.667,59.4,11,MU,QALHAT,,29.96666667,37.27142857,33.95,25.23571429
MUM00041268,22.533,59.483,14,MU,SUR,,33.4516129,42.28846154,37.92333333,27.3
MUM00041270,22.3,59.817,43,MU,RAS AL HADD,,32.04444444,33.82857143,32.95,25.48571429
MUM00041275,21.383,57.05,133,MU,QARN ALAM,,35.4625,43.83333333,40.62,28.78571429
MUM00041287,20.867,58.25,34,MU,JOBA,,35.53636364,38.65,35.66666667,28.62
MUM00041295,19.95,57.1,156,MU,YAALONI,,34.9,42.23333333,37.55,27.68333333
MUM00041304,18.133,55.183,273,MU,MARMUL,,34.15,42.2,37.32142857,26.72
MUM00041312,16.933,54.017,25,MU,MINA SALALAH,,29.625,30.10588235,28.61111111,28.36315789
MUM00041314,17.666,54.025,478.5,MU,THUMRAIT,,33.51666667,40.14615385,37.7,26.60344828
MUM00041315,17.25,54.083,881,MU,QAIROON HAIRITI,,26.75333333,27.45454545,26.46428571,22.12
MUM00041316,17.039,54.091,22.3,MU,SALALAH,,30.18421053,31.49230769,29.88571429,28.20714286
MV000043555,4.2,73.533,2,MV,MALE,,31.5,30.93809524,30.1826087,30.51875
MX000001014,22.18,-102.33,1912,MX,PABELLON,,26.11111111,27.44444444,26.06981132,22.46296296
MX000001018,22.13,-102.43,2020,MX,PRESA CALLES,,26.31886792,27.41568627,25.162,21.72115385
MX000001053,22.1,-102.42,5,MX,PRESA CALLES,,25.10909091,27.03636364,24.4,21.36666667
MX000002006,29.52,-114.47,823,MX,CHAPALA,,22.60465116,32.68292683,32.30952381,20.56818182
MX000002015,28,-113.42,300,MX,EL ARCO,,26.01388889,32.17567568,32.54411765,24.13888889
MX000002032,30.55,-115.93,27,MX,LAS ESCOBAS,,20.10638298,23.43617021,25.10416667,19.36956522
MX000002034,32.55,-115.47,3,MX,MEXICALI,,27.90754717,41.53018868,36.86296296,19.98113208
MX000002038,32.45,-116.9,140,MX,PRESA RODRIGUEZ,,21.07719298,26.29491525,27.09491525,19.30847458
MX000002041,28.63,-114.05,0,MX,ROSARITO,,24.64864865,26.95,29.38157895,22.6125
MX000002043,29.98,-114.98,580,MX,SAN AGUSTIN,,23.32432432,34.975,31.64102564,18.8925
MX000002065,31.55,-116.37,28,MX,SANTO TOMAS,,23.046,31.21568627,31.49,20.92222222
MX000002069,32.38,-116.65,45,MX,VALLE DE PALMAS,,22.168,32.57083333,31.87142857,18.932
MX000002072,31.85,-116.633,8,MX,ENSENADA,,20.94489796,23.19375,25.12653061,19.13333333
MX000003005,22.87,-109.9,25,MX,CABO SAN LUCAS,,27,31.99019608,32.38,25.68367347
MX000003012,24.77,-111.12,140,MX,EL PASO IRITU,,28.53818182,36.31818182,35,25.4375
MX000003029,26.18,-112.08,95,MX,LA PURISIMA,,28.93220339,34.39830508,35.83333333,26.78333333
MX000003030,23.58,-109.55,15,MX,LA RIBERA,,26.36,34.93877551,33.57,24.16346154
MX000003035,26.017,-111.333,7,MX,LORETO,,27.05147059,35.50895522,35.275,24.33088235
MX000003061,27.3,-112.283,103,MX,SANTA ROSALIA,,24.74761905,34.20634921,33.9453125,21.42096774
MX000003066,23.43,-110.22,15,MX,TODOS SANTOS,,24.99122807,25.92592593,31.5462963,26.49107143
MX000003068,24.95,-111.7,48,MX,CIUDAD CONSTITUCION,,29.4745098,34.65,36.13653846,26.31111111
MX000003073,27.72,-113.3,0,MX,GUSTAVO DIAZ ORDAZ,,27.53846154,32.36538462,33.46153846,22.85416667
MX000003074,24.167,-110.3,18,MX,LA PAZ (CITY),,29.896875,37.92424242,35.86285714,24.92173913
MX000004001,20,-89.82,0,MX,BOLONCHEN,,33.5,34,33.16666667,28.55681818
MX000004004,18.18,-91.05,25,MX,CANDELARIA,,33.85,34.46875,33.0754717,28.97115385
MX000004011,20.18,-90.13,50,MX,HECELCHAKAN,,34.51041667,35.60638298,33.5326087,30.76086957
